PointID,Long,Lat,Z,X,Y,Distance,d,TurnR,Grad,angle
261,-0.010626071,51.5408684,5.63023865,62.08230891,352.8234856,490.9538545,1.897492117,NaN,-0.000471236,-0.02699985
262,-0.010648,51.54087864,5.629344483,60.56405338,353.9620901,492.8513466,1.897492117,NaN,-0.000580299,-0.033248677
263,-0.010669816,51.54088897,5.62824337,59.05362006,355.1122461,494.7488387,1.897492117,NaN,-0.000633209,-0.03628017
264,-0.010691548,51.54089939,5.627041862,57.54894115,356.270795,496.6463308,1.897492117,NaN,-0.000629965,-0.036094329
265,-0.010713227,51.54090985,5.625846509,56.04794886,357.4345781,498.5438229,1.897492117,NaN,-0.000570604,-0.032693181
266,-0.010734883,51.54092033,5.624763793,54.54857538,358.6004367,500.4413151,1.897492117,NaN,-0.00046025,-0.026370405
267,-0.010756545,51.54093079,5.623890471,53.04875293,359.7652122,502.3388072,1.897492117,NaN,-0.000309349,-0.017724417
268,-0.010778244,51.54094123,5.623303483,51.54641371,360.9257458,504.2362993,1.897492117,NaN,-0.000119172,-0.006828056
269,-0.010800009,51.54095159,5.623077355,50.03948992,362.078879,506.1337914,1.897492117,NaN,0.000110282,0.006318678
270,-0.01082187,51.54096186,5.623286614,48.52591378,363.2214531,508.0312835,1.897492117,NaN,0.000379012,0.021715783
271,-0.010843857,51.54097201,5.624005786,47.00361747,364.3503094,509.9287756,1.897492117,NaN,0.000653946,0.037468323
272,-0.010866,51.540982,5.625309398,45.47053322,365.4622892,511.8262678,1.993456477,NaN,0.001043762,0.059803149
273,-0.010889454,51.54099232,5.627390093,43.8466887,366.6099182,513.8197242,1.993456477,NaN,0.001450358,0.083099328
274,-0.01091309,51.54100245,5.630281318,42.21021405,367.7380696,515.8131807,1.993456477,NaN,0.001839298,0.105383874
275,-0.010936886,51.54101244,5.633947878,40.56266809,368.8493787,517.8066372,1.993456477,NaN,0.002135004,0.122326523
276,-0.010960819,51.5410223,5.638203915,38.90560965,369.9464808,519.8000937,1.993456477,NaN,0.002332582,0.133646885
277,-0.010984868,51.54103206,5.642853817,37.24059757,371.0320112,521.7935502,1.993456477,NaN,0.002432033,0.139344974
278,-0.011009009,51.54104174,5.647701969,35.56919066,372.1086052,523.7870066,1.993456477,NaN,0.002433357,0.139420798
279,-0.011033219,51.54105136,5.65255276,33.89294778,373.1788981,525.7804631,1.993456477,NaN,0.002336553,0.133874357
280,-0.011057477,51.54106094,5.657210576,32.21342773,374.2455252,527.7739196,1.993456477,NaN,0.002141621,0.122705643
